millisecond,x,y,minute,second,zone_played
11000,70.34772029478074,118.88241076409733,0,11,attacking
11000,11.95668812292736,106.85161522976375,0,11,attacking
12000,39.702536415744916,22.31043664623897,0,12,defensive
12000,30.188059940910208,1.8821269401530287,0,12,defensive
12000,25.512176647653213,28.589080485371483,0,12,defensive
12000,50.43970256415392,27.08163396044708,0,12,defensive
12000,64.41737935619125,77.3434848121664,0,12,middle
12000,75.01002297982593,59.53996989231801,0,12,middle
12000,6.219060896781428,49.2346610269562,0,12,middle
12000,35.03242710003157,83.84760846154553,0,12,attacking
12000,40.59171564314505,67.16834295322562,0,12,middle
12000,73.79691074171605,73.98245269424157,0,12,middle
12000,16.67889194164405,85.25679165809326,0,12,attacking
12000,9.680138814009313,103.98282066130838,0,12,attacking
12000,47.596309319932324,89.37924464931055,0,12,attacking
12000,70.33863992732933,117.00207586032808,0,12,attacking
13000,29.31875899592206,1.7673280033261278,0,13,defensive
13000,3.8475804735984696,47.18101448322335,0,13,middle
13000,72.4060256792492,62.591305540647845,0,13,middle
13000,24.952937409137554,26.643164290507315,0,13,defensive
13000,63.11637484192883,75.78061186898844,0,13,middle
13000,37.51369742058177,19.76055893660063,0,13,defensive
13000,35.085307148019716,82.06685376137435,0,13,attacking
13000,75.74659788913355,57.619730501599065,0,13,middle
13000,48.83828256954594,26.746305940150904,0,13,defensive
13000,15.620452179609256,84.50090528100621,0,13,attacking
13000,6.797761235626756,102.03189717286179,0,13,attacking
13000,45.68641424219686,87.31861097381875,0,13,attacking
13000,38.84878659859147,62.82557356972601,0,13,middle
13000,70.21965427172192,112.51399540536126,0,13,attacking
14000,2.9045392669791825,45.08771687182741,0,14,middle
14000,46.810999554816235,24.070596504030036,0,14,defensive
14000,35.520991699505075,16.20313139691018,0,14,defensive
14000,70.91344582705509,55.176537786272235,0,14,middle
14000,25.688955335984204,24.01801200206185,0,14,defensive
14000,27.63735543229668,1.1495370360549657,0,14,defensive
14000,34.54569543885593,79.71433084651517,0,14,middle
14000,61.563760712845465,73.32479796812036,0,14,middle
14000,38.001183559991404,58.92853703393372,0,14,middle
14000,14.334712535263364,84.38040893557536,0,14,attacking
14000,44.95980288368515,82.49794259459208,0,14,attacking
14000,5.18483544795044,96.82865844043904,0,14,attacking
15000,45.631204187897865,20.672325327009162,0,15,defensive
15000,68.61792360960584,47.624335322363606,0,15,middle
15000,33.5256053616441,15.46521063710486,0,15,defensive
15000,27.02067155247724,22.31375824903111,0,15,defensive
15000,2.3379216751458323,44.680752649624495,0,15,middle
15000,33.60112863286644,81.33159390407826,0,15,attacking
15000,37.01911918577264,55.30067703394786,0,15,middle
15000,44.019088354796274,79.08419473971138,0,15,middle
15000,60.028406382891404,71.38841214856988,0,15,middle
15000,13.722728611030952,83.02411796441524,0,15,attacking
15000,69.91659367945013,106.69545464508926,0,15,attacking
15000,3.1307706749677395,95.05832560842902,0,15,attacking
16000,25.426403567716758,20.646892891461732,0,16,defensive
16000,43.446337298731315,17.69051254474965,0,16,defensive
16000,32.742878574952606,14.343260100533357,0,16,defensive
16000,68.17738820688663,43.15817337301495,0,16,middle
16000,2.0541923685663894,44.635046671149595,0,16,middle
16000,57.92044301630468,67.80037065399006,0,16,middle
16000,32.83210228328275,80.67343233938387,0,16,attacking
16000,69.72960734442398,105.11863459045986,0,16,attacking
16000,36.12627851988402,51.326266159545256,0,16,middle
16000,13.359826799535647,81.09142030055358,0,16,attacking
16000,1.7980192699565978,91.81586203921918,0,16,attacking
16000,45.74371020690747,116.0310976010725,0,16,attacking
16000,43.446430498983744,77.43611408676075,0,16,middle
17000,22.22704749269893,21.726802978525114,0,17,defensive
17000,40.59503090926735,16.67313366665323,0,17,defensive
17000,32.89697853519132,14.564142160866098,0,17,defensive
17000,66.52633242069668,37.31865990410513,0,17,defensive
17000,2.2833074367463273,42.52427217966749,0,17,middle
17000,56.17770924847047,66.37851649311264,0,17,middle
17000,35.57348119405445,48.8655196332774,0,17,middle
17000,32.23695653799008,81.77745346142886,0,17,attacking
17000,69.09530417878726,102.7993887956715,0,17,attacking
17000,0.14619680073768,90.9202828057418,0,17,attacking
17000,13.335754505764124,78.65065316982698,0,17,middle
17000,41.36059997329646,109.30915328684956,0,17,attacking
17000,43.19738167205109,73.88526639783292,0,17,middle
18000,33.05566306022835,19.354128705037354,0,18,defensive
18000,19.18432109905732,23.13020278492523,0,18,defensive
18000,64.3280047522143,34.83968529058015,0,18,defensive
18000,37.71967885467541,18.722200561849803,0,18,defensive
18000,54.60330845085384,64.24516053305729,0,18,middle
18000,2.971276195355995,40.03554092360865,0,18,middle
18000,13.738204291042253,76.9304973565625,0,18,middle
18000,67.76789292633522,100.50708690146134,0,18,attacking
18000,43.20671501161626,72.44840619491364,0,18,middle
18000,35.11164287649321,46.55129470810468,0,18,middle
18000,68.20525064425715,40.189049656462714,0,18,middle
18000,40.2597762869405,107.48598932160138,0,18,attacking
18000,31.899576062286283,82.93446636643834,0,18,attacking
19000,17.177331329768304,25.24881517291412,0,19,defensive
19000,61.24035139879225,34.22246451670382,0,19,defensive
19000,5.927155487104532,39.709489859339556,0,19,defensive
19000,15.107449142515376,72.64370195798925,0,19,middle
19000,55.131256814141594,63.20746738393375,0,19,middle
19000,65.92823533407693,98.9450036308818,0,19,attacking
19000,32.137596192680924,83.56305933080056,0,19,attacking
19000,0.8106513575636144,90.97346012782684,0,19,attacking
19000,63.765243875588816,36.94186162769567,0,19,defensive
19000,35.25388421413651,28.392499524485302,0,19,defensive
19000,43.93038834312266,71.60137033085218,0,19,middle
19000,40.593251228256584,108.38117032477123,0,19,attacking
19000,35.16576115640654,49.67288632829819,0,19,middle
19000,35.84796037557982,35.55630072893399,0,19,defensive
20000,13.540062773421212,30.149491641193933,0,20,defensive
20000,53.23404140884442,61.1409960141615,0,20,middle
20000,58.462828542505186,32.02657734768151,0,20,defensive
20000,29.909178156984147,23.05380592070607,0,20,defensive
20000,15.03031705741173,66.60250746505055,0,20,middle
20000,10.501827744325468,32.48791810823634,0,20,defensive
20000,62.87553651342488,97.31250147604007,0,20,attacking
20000,1.6065804038231022,88.79856603149216,0,20,attacking
20000,35.101404163047235,48.216440434800745,0,20,middle
20000,31.62780412618876,79.97401320976314,0,20,middle
20000,37.263645581408625,33.909699863603294,0,20,defensive
20000,40.65359617265397,69.82029433122834,0,20,middle
20000,38.557358285444884,111.91032577530109,0,20,attacking
20000,65.04832731274034,50.30118514527416,0,20,middle
21000,26.73570068539216,18.806453423953357,0,21,defensive
21000,55.68904701063727,27.925067650363403,0,21,defensive
21000,56.02389776520357,34.767370287012895,0,21,defensive
21000,13.786930270636198,57.74148036742967,0,21,middle
21000,49.76835895533557,59.243261161160945,0,21,middle
21000,1.7350502946424737,86.64664258334942,0,21,attacking
21000,37.16848368556626,28.934445719554503,0,21,defensive
21000,9.724544296186853,31.483943300262965,0,21,defensive
21000,34.68917500842443,46.48058167645627,0,21,middle
21000,59.59098653146786,95.67753753384287,0,21,attacking
21000,26.47282715434845,0.8606752520935004,0,21,defensive
21000,8.81819403180256,29.452280879642103,0,21,defensive
21000,36.56935251995522,110.88665666848388,0,21,attacking
21000,29.81129570139216,80.36001603668923,0,21,attacking
21000,37.545722802560995,63.44173541301192,0,21,middle
21000,9.944425882214937,29.266560745324227,0,21,defensive
22000,52.655400984447084,23.716551659281166,0,22,defensive
22000,24.5165738272416,18.328368889105718,0,22,defensive
22000,51.48786366977742,32.27295519838333,0,22,defensive
22000,26.24928856793915,0.9058472399288178,0,22,defensive
22000,12.801557287456028,44.84924932314283,0,22,middle
22000,7.796042453769035,28.264658545087627,0,22,defensive
22000,46.141360179185256,57.68355143372103,0,22,middle
22000,56.1435580131143,92.71607522536569,0,22,attacking
22000,36.11089160201789,111.79624410556214,0,22,attacking
22000,34.337943199966034,61.026319261633496,0,22,middle
22000,31.278525084924222,42.26003731994963,0,22,middle
22000,29.168009806663704,23.173275012957333,0,22,defensive
22000,4.019503872588376,81.4422566761204,0,22,attacking
22000,7.308800410258635,32.782970563341735,0,22,defensive
22000,27.84772171636198,77.32263655049965,0,22,middle
23000,49.071425220063205,21.116125852656197,0,23,defensive
23000,26.45717838815406,19.229500720166143,0,23,defensive
23000,23.308769565413186,19.93900231711774,0,23,defensive
23000,8.771023608802814,35.12348773949856,0,23,defensive
23000,53.329904525633665,89.89612496172902,0,23,attacking
23000,36.01486871336733,110.85984174022119,0,23,attacking
23000,42.830674183581394,56.51476358257374,0,23,middle
23000,47.33269906308366,29.618840705755744,0,23,defensive
23000,24.882404789527687,0.5165318608993914,0,23,defensive
23000,7.8195289173824,27.11510340765504,0,23,defensive
23000,28.45512995201061,38.20779957249637,0,23,defensive
23000,5.405401612023187,80.30066614483789,0,23,attacking
23000,31.15676117417284,58.674438945679604,0,23,middle
23000,25.691480619014442,78.20819214612337,0,23,middle
24000,25.85067108827896,17.907267490986428,0,24,defensive
24000,45.95024640440846,20.01729982598637,0,24,defensive
24000,21.422784790534305,22.26718340443074,0,24,defensive
24000,43.32396092917822,26.52920706773945,0,24,defensive
24000,25.516337373208305,0.6234204957090554,0,24,defensive
24000,39.95707074324941,57.099238964346654,0,24,middle
24000,50.761815950887566,87.79426087337734,0,24,attacking
24000,27.07160770948605,40.2977936824778,0,24,middle
24000,34.65473529609644,111.72834131278827,0,24,attacking
24000,5.669029621300884,71.02145197089355,0,24,middle
24000,23.309854682637955,71.02580987755408,0,24,middle
24000,4.414577523602444,39.178648859436436,0,24,defensive
24000,29.35094858786986,60.71842387911108,0,24,middle
24000,7.870409598050473,26.377816196066206,0,24,defensive
24000,3.252887415246194,43.589411542597986,0,24,middle
25000,46.0355201972783,23.904905544041853,0,25,defensive
25000,27.81056588239163,16.434620864524618,0,25,defensive
25000,18.43966883453875,22.827049963337643,0,25,defensive
25000,39.520187902804174,24.795140345778734,0,25,defensive
25000,25.602838302735197,0.69516530588146,0,25,defensive
25000,2.7062790299889707,39.15927133470083,0,25,defensive
25000,47.82152551088544,85.69849694928149,0,25,attacking
25000,25.90384405134618,46.99506808168529,0,25,middle
25000,20.229331148527095,73.23173878580766,0,25,middle
25000,3.9618817069942445,65.69881881440219,0,25,middle
25000,31.830754333024668,60.28729884313813,0,25,middle
25000,37.869176497686794,57.83551702413352,0,25,middle
25000,33.225243138585626,110.72493443553753,0,25,attacking
26000,48.415122356744796,28.97204228085843,0,26,defensive
26000,16.96965675775544,22.67679042776524,0,26,defensive
26000,30.00149522607365,14.48126500346119,0,26,defensive
26000,3.3033864186900126,39.81300258722425,0,26,defensive
26000,35.76265551595916,25.518055063542192,0,26,defensive
26000,24.401065428671444,0.3971804276026205,0,26,defensive
26000,45.63804331118362,82.56758764496128,0,26,attacking
26000,24.596359900485986,46.20205577911227,0,26,middle
26000,32.96474399492536,111.64953470267426,0,26,attacking
26000,35.26032834587623,61.54372451400276,0,26,middle
26000,4.137717297532749,65.72075315872576,0,26,middle
26000,37.798601716057966,58.18017630458962,0,26,middle
26000,20.778795455805334,67.32440398032324,0,26,middle
26000,37.592180909345714,89.79147637239907,0,26,attacking
27000,16.37720494356884,24.596857855396863,0,27,defensive
27000,50.94336116641447,33.93265241041763,0,27,defensive
27000,35.43479921843267,29.38678104474647,0,27,defensive
27000,32.52418640166987,15.434800322713627,0,27,defensive
27000,23.546838514987677,0.23600576132909623,0,27,defensive
27000,5.18945773666044,41.25675036432558,0,27,middle
27000,23.708549829175173,63.655521733320036,0,27,middle
27000,44.0506832403714,81.27604077618142,0,27,attacking
27000,5.448345847385779,69.41057869962815,0,27,middle
27000,33.11305666329865,110.71950854759778,0,27,attacking
27000,28.33126681652583,44.064310234985584,0,27,middle
27000,38.14112151996741,58.23038500074597,0,27,middle
27000,35.84787161343464,61.23828186814702,0,27,middle
28000,53.27029186893398,39.21675225931355,0,28,defensive
28000,36.03116100511424,16.908759299052434,0,28,defensive
28000,37.45359657208362,34.50769697445372,0,28,defensive
28000,16.977225949685263,24.555532410304494,0,28,defensive
28000,26.46684458576364,63.17294805682418,0,28,middle
28000,32.47860260201513,42.71751343638391,0,28,middle
28000,6.30144104371856,73.83890876976392,0,28,middle
28000,6.586407472696383,47.61134758392569,0,28,middle
28000,43.26576846680134,80.63739702189912,0,28,attacking
28000,39.847192083736985,58.48046005782542,0,28,middle
28000,36.64280319508772,60.96623626398879,0,28,middle
28000,33.67352303847136,110.7466130979023,0,28,attacking
29000,39.649745129901945,17.61554568936198,0,29,defensive
29000,54.42234462737783,44.89199572637787,0,29,middle
29000,17.01915274895878,20.78277088251994,0,29,defensive
29000,9.532767024374875,47.4236543994479,0,29,middle
29000,7.588179262197676,75.69148521096237,0,29,middle
29000,28.045918710323754,62.967488370218426,0,29,middle
29000,35.141986215821355,43.179994583728416,0,29,middle
29000,40.261604787131105,39.46779121475092,0,29,defensive
29000,34.34920711618878,114.59475215607912,0,29,attacking
29000,42.95819431944739,58.93647448801738,0,29,middle
29000,43.854132784202626,87.77162057532684,0,29,attacking
29000,39.15298778442876,64.8786091919644,0,29,middle
30000,43.42765730527919,17.217559750455536,0,30,defensive
30000,16.903943922628592,20.47691190497909,0,30,defensive
30000,55.4483817683164,51.83372017957133,0,30,middle
30000,7.143483133923395,47.37093413714763,0,30,middle
30000,29.42469217808144,60.72871903762894,0,30,middle
30000,7.071596891599604,74.48904689883098,0,30,middle
30000,46.033234572040044,59.38721236663493,0,30,middle
30000,41.48984653288612,42.372591685952415,0,30,middle
30000,35.12904025694755,115.61204278995967,0,30,attacking
30000,36.984138024359076,43.253395669952496,0,30,middle
30000,44.47183742869158,81.32018098549273,0,30,attacking
30000,40.67670539715034,67.61005729510265,0,30,middle
31000,17.016316798420434,20.221365706515854,0,31,defensive
31000,48.844349462168665,17.188760458671936,0,31,defensive
31000,56.18291958639226,56.937561984844336,0,31,middle
31000,41.91647290745635,45.60292733216099,0,31,middle
31000,7.8614068974760745,71.27522875969501,0,31,middle
31000,4.211591811908465,42.842105218499896,0,31,middle
31000,35.35931589017565,115.62113420686622,0,31,attacking
31000,32.730727037278115,42.512868311770774,0,31,middle
31000,29.863998225089958,65.7680701598083,0,31,middle
31000,49.22619533449799,60.5588828621672,0,31,middle
31000,39.34739019668429,69.65625964729183,0,31,middle
31000,44.85909779187659,80.80605660781598,0,31,attacking
32000,55.02229240472448,18.25497685357047,0,32,defensive
32000,43.50836872388703,51.021248896063454,0,32,middle
32000,16.8819131581961,20.754206908645315,0,32,defensive
32000,55.033227901010065,69.05337063914126,0,32,middle
32000,50.87617709873135,60.79853152574108,0,32,middle
32000,7.455599684056692,68.11387746357275,0,32,middle
32000,29.109417914633532,42.384276125202135,0,32,middle
32000,3.2234760784423813,36.60039724038842,0,32,defensive
32000,35.3384967290248,116.61858120553761,0,32,attacking
32000,30.743861865353956,64.59053481792913,0,32,middle
32000,41.25847912527236,84.45960698798027,0,32,attacking
32000,34.26360934148904,80.25026738421658,0,32,attacking
33000,17.07545679669706,20.65323742431538,0,33,defensive
33000,51.480212372863306,60.53450483186578,0,33,middle
33000,7.149794122445354,67.07728849848365,0,33,middle
33000,35.35931589017565,115.62113420686622,0,33,attacking
33000,28.138444370454415,41.96387163012098,0,33,middle
33000,43.552536767326224,55.63599600355522,0,33,middle
33000,32.15400387521657,66.50447040389406,0,33,middle
33000,37.59649474960122,89.13114264239103,0,33,attacking
33000,50.64586596064517,79.2793818945213,0,33,middle
33000,26.351826598045577,87.46406006829028,0,33,attacking
34000,17.22242249951732,20.54336206219945,0,34,defensive
34000,50.941963162627964,60.80808452777678,0,34,middle
34000,7.081542689966489,67.56634246816526,0,34,middle
34000,27.761302891819373,41.64768581665143,0,34,middle
34000,5.069328158907096,32.82530968558049,0,34,defensive
34000,34.98324399538997,69.56808783693486,0,34,middle
